routeid,stand1,stand2,stand3,stand4,stand5,stand6
33UP_DTC,"['temp_4355', 'C 4 Yamuna Vihar', 'temp_4355', 'C 4 Yamuna Vihar']","['1177', 'Gagan Cinema', '1177', 'Gagan Cinema']",,,,
340DOWN_DTC,"['temp_4494', 'Delhi Secretariat', '133', 'Delhi Secretariat']",,,,,
341DOWN_DTC,"['temp_4336', 'Jahangir Puri Metro Station', 'temp_4336', 'Jahangir Puri Metro Station']",,,,,
341UP_DTC,"['245', 'Jahangir Puri Metro Station', '245', 'Jahangir Puri Metro Station']",,,,,
348DOWN_DTC,"['temp_5480', 'Vinod Nagar', 'temp_8368', 'Vinod Nagar']",,,,,
349ADOWN_DTC,"['temp_7323', 'Mother Dairy', '1847', 'Mother Dairy']","['temp_4533', 'ITO', '134', 'ITO']",,,,
349AUP_DTC,"['temp_5480', 'Vinod Nagar', 'temp_8368', 'Vinod Nagar']",,,,,
349DOWN_DTC,"['temp_7323', 'Mother Dairy', '1847', 'Mother Dairy']",,,,,
34ADOWN_DTC,"['2483', 'Ambedkar Nagar Depot', 'temp_4440', 'Ambedkar Nagar Depot']",,,,,
34AUP_DTC,"['173', 'C-1 Janak Puri', '174', 'C-1 Janak Puri']","['335', 'Sarita Vihar', 'temp_5654', 'Sarita Vihar']","['2558', 'Timarpur', '199', 'Timarpur']",,,
34DOWN_DTC,"['2483', 'Ambedkar Nagar Depot', 'temp_4440', 'Ambedkar Nagar Depot']",,,,,
34UP_DTC,"['335', 'Sarita Vihar', 'temp_5654', 'Sarita Vihar']",,,,,
355DOWN_DTC,"['447', 'Nizamuddin Road Bridge', 'temp_5439', 'Nizamuddin Road Bridge']",,,,,
355UP_DTC,"['447', 'Nizamuddin Road Bridge', 'temp_5439', 'Nizamuddin Road Bridge']","['temp_5439', 'Nizamuddin Road Bridge', 'temp_5439', 'Nizamuddin Road Bridge']",,,,
374DOWN_DTC,"['temp_7175', 'Sunder Nagar', 'temp_7175', 'Sunder Nagar']","['1516', 'Nehru Place', '1702', 'Nehru Place']","['1702', 'Nehru Place', 'temp_5652', 'Nehru Place']",,,
374UP_DTC,"['1516', 'Nehru Place', '1702', 'Nehru Place']","['342', 'Pant Nagar', '342', 'Pant Nagar']","['temp_5136', 'Welcome Metro Station', 'temp_5136', 'Welcome Metro Station']",,,
375DOWN_DTC,"['65', 'Ram Prastha Temple', 'temp_4985', 'Ram Prastha Temple']",,,,,
375UP_DTC,"['1516', 'Nehru Place', '1702', 'Nehru Place']",,,,,
392BDOWN_DTC,"['1217', 'APS Colony', 'temp_5538', 'APS Colony']",,,,,
39ADOWN_DTC,"['771', 'Ram Prastha Crossing', '66', 'Ram Prastha Crossing']",,,,,
39AUP_DTC,"['683', 'Shastri Nagar Shiv Mandir', '683', 'Shastri Nagar Shiv Mandir']",,,,,
39DOWN_DTC,"['2333', 'Ramleela Ground Geeta Colony', '4205', 'Ramleela Ground Geeta Colony']",,,,,
400UP_DTC,"['1792', 'Mata Mandir New Friends Colony', 'temp_5701', 'Mata Mandir New Friends Colony']",,,,,
402UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']","['temp_5701', 'Mata Mandir New Friends Colony', 'temp_5701', 'Mata Mandir New Friends Colony']",,,
403UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']","['temp_5701', 'Mata Mandir New Friends Colony', 'temp_5701', 'Mata Mandir New Friends Colony']",,,
405AUP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,,
405UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,,
408DOWN_DTC,"['2520', 'Moti Nagar Market', '1532', 'Moti Nagar Market']",,,,,
408UP_DTC,"['3983', 'Raghubir Nagar Gurudwara A Block', '3983', 'Raghubir Nagar Gurudwara A Block']","['2520', 'Moti Nagar Market', '1532', 'Moti Nagar Market']",,,,
410DOWN_DTC,"['2520', 'Moti Nagar Market', '1532', 'Moti Nagar Market']",,,,,
410UP_DTC,"['2520', 'Moti Nagar Market', '1532', 'Moti Nagar Market']",,,,,
411UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,,
413DOWN_DTC,"['temp_5679', 'Geetanjali Enclave', '3416', 'Geetanjali Enclave']",,,,,
413UP_DTC,"['temp_5744', 'PNB Geetanjali', 'temp_5680', 'PNB Geetanjali']",,,,,
419DOWN_DTC,"['1093', 'Kaka Nagar', '1093', 'Kaka Nagar']",,,,,
419UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']",,,,,
423DOWN_DTC,"['1093', 'Kaka Nagar', '1093', 'Kaka Nagar']",,,,,
423UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']",,,,,
425DOWN_DTC,"['1071', 'DDA Flats Kalka Ji', '1073', 'DDA Flats Kalka Ji']","['1093', 'Kaka Nagar', '1093', 'Kaka Nagar']",,,,
425UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['1516', 'Nehru Place', '1702', 'Nehru Place']",,,,
427ADOWN_DTC,"['173', 'C-1 Janak Puri', 'temp_4439', 'C-1 Janak Puri']",,,,,
427AUP_DTC,"['temp_4439', 'C-1 Janak Puri', '1479', 'C-1 Janak Puri']",,,,,
